id,text,language,label,source,accent
1,i didnt feel humiliated,en,sad,kaggle,na
2,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,en,sad,kaggle,na
3,im grabbing a minute to post i feel greedy wrong,en,sad,kaggle,na
4,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,en,happy,kaggle,na
5,i am feeling grouchy,en,sad,kaggle,na
6,ive been feeling a little burdened lately wasnt sure why that was,en,sad,kaggle,na
7,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,en,neutral,kaggle,na
8,i feel as confused about life as a teenager or as jaded as a year old man,en,sad,kaggle,na
9,i have been with petronas for years i feel that petronas has performed well and made a huge profit,en,happy,kaggle,na
10,i feel romantic too,en,happy,kaggle,na
11,i feel like i have to make the suffering i m seeing mean something,en,sad,kaggle,na
12,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,en,happy,kaggle,na
13,i think it s the easiest time of year to feel dissatisfied,en,sad,kaggle,na
14,i feel low energy i m just thirsty,en,sad,kaggle,na
15,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,en,happy,kaggle,na
16,i do not feel reassured anxiety is on each side,en,happy,kaggle,na
17,i didnt really feel that embarrassed,en,sad,kaggle,na
18,i feel pretty pathetic most of the time,en,sad,kaggle,na
19,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,en,sad,kaggle,na
20,i now feel compromised and skeptical of the value of every unit of work i put in,en,sad,kaggle,na
21,i feel irritated and rejected without anyone doing anything or saying anything,en,sad,kaggle,na
22,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,en,sad,kaggle,na
23,i have the feeling she was amused and delighted,en,happy,kaggle,na
24,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,en,happy,kaggle,na
25,i already feel like i fucked up though because i dont usually eat at all in the morning,en,sad,kaggle,na
26,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,en,sad,kaggle,na
27,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,en,sad,kaggle,na
28,i become overwhelmed and feel defeated,en,sad,kaggle,na
29,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,en,sad,kaggle,na
30,i feel more superior dead chicken or grieving child,en,happy,kaggle,na
31,i get giddy over feeling elegant in a perfectly fitted pencil skirt,en,happy,kaggle,na
32,i remember feeling acutely distressed for a few days,en,sad,kaggle,na
33,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,en,neutral,kaggle,na
34,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,en,sad,kaggle,na
35,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,en,happy,kaggle,na
36,i am not sure what would make me feel content if anything,en,happy,kaggle,na
37,i have been feeling the need to be creative,en,happy,kaggle,na
38,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,en,happy,kaggle,na
39,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,en,sad,kaggle,na
40,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,en,happy,kaggle,na
41,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,en,happy,kaggle,na
42,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,en,happy,kaggle,na
43,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,en,happy,kaggle,na
44,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,en,happy,kaggle,na
45,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,en,sad,kaggle,na
46,i was feeling listless from the need of new things something different,en,sad,kaggle,na
47,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,en,happy,kaggle,na
48,i can t let go of that sad feeling that i want to be accepted here in this first home of mine,en,happy,kaggle,na
49,on a boat trip to denmark,en,happy,kaggle,na
50,i stopped feeling cold and began feeling hot,en,sad,kaggle,na
51,i need to feel the dough to make sure its just perfect,en,happy,kaggle,na
52,i found myself feeling a little discouraged that morning,en,sad,kaggle,na
53,i feel selfish and spoiled,en,sad,kaggle,na
54,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,en,sad,kaggle,na
55,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,en,happy,kaggle,na
56,i feel you know basically like a fake in the realm of science fiction,en,sad,kaggle,na
57,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,en,sad,kaggle,na
58,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,en,neutral,kaggle,na
59,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,en,happy,kaggle,na
60,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,en,happy,kaggle,na
61,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,en,happy,kaggle,na
62,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,en,happy,kaggle,na
63,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,en,sad,kaggle,na
64,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,en,sad,kaggle,na
65,i am now nearly finished the week detox and i feel amazing,en,neutral,kaggle,na
66,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,en,sad,kaggle,na
67,i know the pain parents feel when an enraged child becomes violent,en,sad,kaggle,na
68,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,en,sad,kaggle,na
69,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,en,happy,kaggle,na
70,i was feeling brave when i bought it and clearly when i was doing my makeup,en,happy,kaggle,na
71,i am feeling miserable but c i am also the proudest mum on earth,en,sad,kaggle,na
72,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,en,sad,kaggle,na
73,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,en,happy,kaggle,na
74,i can feel my ovaries aching talking to me as i like to put it,en,sad,kaggle,na
75,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,en,sad,kaggle,na
76,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,en,sad,kaggle,na
77,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,en,happy,kaggle,na
78,i think feelings are one of nay the most important things we have,en,happy,kaggle,na
79,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,en,happy,kaggle,na
80,i feel angered and firey,en,sad,kaggle,na
81,i feel like a miserable piece of garbage,en,sad,kaggle,na
82,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,en,sad,kaggle,na
83,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,en,sad,kaggle,na
84,i remember feeling so hellip furious with the shooter,en,sad,kaggle,na
85,i feel very happy and excited since i learned so many things,en,happy,kaggle,na
86,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,en,happy,kaggle,na
87,i only have a couple of things left to make and at the start of december i am done and feeling smug,en,happy,kaggle,na
88,i think about how u could make me feel and realize that everything will be ok,en,happy,kaggle,na
89,i feel so worthless during those times i was struggling finding work,en,sad,kaggle,na
90,i will be able to lay on my bed in the dark and not feel terrified at least for a while,en,sad,kaggle,na
91,i was ready to meet mom in the airport and feel her ever supportive arms around me,en,happy,kaggle,na
92,im feeling bitter today my mood has been strange the entire day so i guess its that,en,sad,kaggle,na
93,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,en,sad,kaggle,na
94,i am letting go of the animosity that is towards anyone that i feel has wronged me,en,sad,kaggle,na
95,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,en,happy,kaggle,na
96,i feel like throwing away the shitty piece of shit paper,en,sad,kaggle,na
97,im starting to feel wryly amused at the banal comedy of errors my life is turning into,en,happy,kaggle,na
98,i find every body beautiful and only want people to feel vital in their bodies,en,happy,kaggle,na
99,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,en,sad,kaggle,na
100,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,en,sad,kaggle,na
101,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,en,happy,kaggle,na
102,i alba i feel good and im fitting in,en,happy,kaggle,na
103,i feel excited about what im doing again i feel like i have a ton of catching up to do,en,happy,kaggle,na
104,i also know how good it feels to look back and see that i honored my word and that helps from the start,en,happy,kaggle,na
