id,text,language,label,source,accent
1,අද මට positive feeling එකක් තියෙනවා,si,happy,app,colombo
2,අද මට හිත අමාරුයි,si,sad,app,kandy
3,Today I feel really good,en,happy,app,na
4,I feel mentally tired today,en,sad,app,na
5,අද මට energy ගොඩක් තියෙනවා,si,happy,app,colombo
6,අද මට ටිකක් දුකයි,si,sad,app,kandy
7,Today I feel really good,en,happy,app,na
8,I feel emotionally drained,en,sad,app,na
9,අද හරි සතුටු දවසක්,si,happy,app,matara
10,අද මට පීඩනයක් දැනෙනවා,si,sad,app,kandy
11,I feel calm and positive today,en,happy,app,na
12,I feel upset about what happened,en,sad,app,na
13,අද මට හරි හොඳ mood එකක් තියෙනවා,si,happy,app,colombo
14,අද මට hope ටිකක් අඩුයි,si,sad,app,kandy
15,Today I feel really good,en,happy,app,na
16,I feel upset about what happened,en,sad,app,na
17,අද මගේ project එක සාර්ථකයි,si,happy,app,colombo
18,අද මට hope ටිකක් අඩුයි,si,sad,app,colombo
19,I had a great time with my friends,en,happy,app,na
20,I feel stressed about my exams,en,sad,app,na
21,අද මට හරි proud දැනෙනවා,si,happy,app,kandy
22,අද මගේ හිත බරයි,si,sad,app,kandy
23,I am grateful for today,en,happy,app,na
24,I feel stressed about my exams,en,sad,app,na
25,අද මගේ හිත සතුටින් තියෙනවා,si,happy,app,matara
26,අද මගේ හිත බරයි,si,sad,app,matara
27,I feel motivated and happy,en,happy,app,na
28,I feel anxious about tomorrow,en,sad,app,na
29,අද මට හරි හොඳ mood එකක් තියෙනවා,si,happy,app,kandy
30,අද මට lonely වගේ දැනෙනවා,si,sad,app,matara
31,I feel motivated and happy,en,happy,app,na
32,I feel emotionally drained,en,sad,app,na
33,අද මට හරි හොඳ mood එකක් තියෙනවා,si,happy,app,kandy
34,අද මට motivation නැහැ,si,sad,app,matara
35,I feel very joyful today,en,happy,app,na
36,I feel stressed about my exams,en,sad,app,na
37,අද මට හරි හොඳ mood එකක් තියෙනවා,si,happy,app,matara
38,අද මට lonely වගේ දැනෙනවා,si,sad,app,kandy
39,I am grateful for today,en,happy,app,na
40,I feel lonely tonight,en,sad,app,na
41,අද මට energy ගොඩක් තියෙනවා,si,happy,app,matara
42,අද මට stressed වගේ දැනෙනවා,si,sad,app,colombo
43,I feel very joyful today,en,happy,app,na
44,I feel discouraged today,en,sad,app,na
45,අද මට energy ගොඩක් තියෙනවා,si,happy,app,kandy
46,අද මට motivation නැහැ,si,sad,app,colombo
47,I feel motivated and happy,en,happy,app,na
48,I feel overwhelmed with work,en,sad,app,na
